cleaned_text,predicted_sentiment
dont know mom gave clean macbook white tinted grayish blue black desk,positive
inovera hi jakki thanks hug right back ya,positive
cantttt grandparent,neutral
found mad men season delayed august,negative
want trip boston next month need additl motivation save beloved daughter want go x,positive
still courthouse happy job sad one,positive
wtf pogs back,negative
wow im soo hungover,positive
dont watch wish tv month love guess wont win though lol,positive
prayin dad wellington fl httplooptusfjqgt via live welly may pray f httpbitlylbsn,positive
feel sick,negative
lol yeah haha yeah thing okay pretty much slowly sorting everything lol exam coming haha,positive
got overexcited pizza burned mouth,negative
got cofo late didnt close today close mondayback meet buyer tonight show home,negative
sure like way learn new language prefer location practice ask q get answer,positive
broken leg comment please,negative
yup slowly recovering suck cant eat stuff im craving right gum cant take trip,negative
overthought tying shoe couldnt figure,neutral
awww thanks jon appreciate,positive
want see tonight know gonna happen,neutral
get motivated fact know ill wake productive go sleep though,negative
thanks good tv simple dollhouse,positive
happy mother day mother,positive
four hour baseball game least crew spent much making cubby look bad,negative
ok cause one orange still open whew scared sorry one closed,negative
applying part time job lmao hopefully someone need help ap,positive
wish dog,neutral
degree gross sky thunderstormsperfect match mood lol,positive
extremly deep,neutral
rain make good study day almost done,positive
happy mother day love mom,positive
wasnt nice,positive
haha wish could look like little boy,positive
yes lol thats good one remeber bottom always top,positive
yeah like,neutral
sometimes forget boy feeling,neutral
want candy,neutral
yeah getting show interesting process key following least thats ive learned far,positive
andjay hi job,neutral
mine pool someone elses pocket,neutral
besides havent strep like year reason im tired anything else,negative
httptwitpiccomwhd pretty picture,positive
hello friend welcome twitter,positive
maybe wont getting call,neutral
gave mommy mother day presenta purple ipod httptwitpiccomwcpt,neutral
hope feel better soon check cool backround profile,positive
dazzle well tonight would good time watch,positive
gardening stuff ordered got returned sender damage need work get garden centre,neutral
go cruches next week,neutral
wont able manage night babe lil one depending,positive
last wrte againgot bored previous days,negative
head thumping,neutral
hey sorry didnt get touch sooner didnt go bologna way,negative
writing researching tired foolish im educating moving forward gonna marry white boy right,negative
know cant go eitherits sad need come back mi asap haha,negative
officially st one say happy mother day love,positive
airport philadelphia moment waiting plane leave hour six hour plane,neutral
mom annoyed living outta aol radio looking brook dunn,negative
shooould sleeping already got caught watching late night roseanne officially bed next episode,negative
boo season finale,neutral
he awesome worked he good friend,positive
im still thinking idk,neutral
mraz httptwitpiccomiq popcorn crazy dude still adorable,negative
gosh today suck didnt get tax return im upset cuz miss best friend wedding washingtonlame,positive
whats going,neutral
aw okay tht happened wid tooam glad thts nowam helpin ilol thnx postin wmiad loved,positive
wow,positive
much summer hopefully come favor nothing cancelled worked hard,negative
cant even call belgium suck,neutral
feel sick solo tonight vocal jazz concert great,positive
sure hope,positive
hey jodi whats upugg im bored made sundae c u monday hahaha rymed loll cu school,negative
screwed sat u,neutral
hubby went pick fringe comic today store work store business comix houston web,positive
well bell hook teaching transgress sometimes miss teaching messing bad system,negative
wordsaftersex ow rug burn,neutral
nah mine one without finger,neutral
bom dia good morning guten morgen returning twitter,positive
get nice food mam bay likely room tonight b isnt mingin burger kitchen,positive
yet understand sentence u ever typedbut kinda funlike learning foreign languagei love quote u,positive
yay live demo rhodes loving euruko,positive
weekend also great two friend julia four day,positive
bug attacking laptop,neutral
hope get better know best medical attention let know right,positive
omg mom called im late he gone,negative
really ur brave lady walkin around lion book suggestion,positive
getting ready work think im catching cold yay gotta pull hour shift holla ya sometime tomorrow peace,positive
swimming tanning heaven blasted music tanning world,negative
delayed flight san diego la vega delayed flight feel sooooo depressing,negative
first day new job yeah,positive
people pisssing offf ugh,neutral
awww boo lovee girly things,positive
cheer id like thank zbrush making possible,neutral
ahhh others like hoppusday etc im spazz,neutral
dream kind bug eye,positive
hubz company organising,neutral
apparently good brazillians tho,positive
gonna watch jt snl tonight fan music think he hilarious pant way funny,positive
lmao dont fake paris anymore look bio way cant log onto forum,positive
going bed night,neutral
terrible trouble sp word child would drop pider pade etc needed lesson bad memory,negative
feel like drinking wine dont,neutral
belly ache,neutral
seems brought little sikaflex caulk home hair,negative
perfect way end totally boring day sleep goodnight,neutral
playing club impact tomorrow finally got shirt woopity doo want slurpeeee sooo bad right,negative
aww lovely pic,positive
want know audition mander text orreply please,neutral
favourite song tonight cheer tokyo police club,neutral
suck save,neutral
installing new hard drive gotta redo everything though,negative
dm never sent,neutral
thats bad start day,negative
bored work,negative
bye great time whisked away,positive
finished uploading latest chap finally watch new happyslip vid,positive
lol feel like drunk right,positive
awful xxxx,negative
hi everyone miss much muahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,positive
oktwitter near exciting thought would,positive
pffftt know like stay busy im awesome soberdang,positive
aww poor precious,positive
came home thinking maybe something good eat apparently,positive
live tv coming xbox live uk httptinyurlcomkqah,positive
u really dont right sick newt freezer aweful x,negative
got tattoo fixed today didnt hurt much thank god cant wait get next one,positive
love see,positive
tired ready bed really mood salt pepper chicken wing noodle money chinese,negative
created account get chance chat admire youre amazing inspire write,positive
finally watched rest guild season always feel sorry hopeful time char,negative
who going tonight want go,neutral
southridge moved week later cause swine flu think,neutral
think hayfever sure due wearing next nothing horrific weather wed,negative
gorgeous day worked master gardener plant sale trimmed smoke bush writing,positive
going houston nola weekend want join u,neutral
dont see could possibly another choice,neutral
gadget show today today better,positive
going hong kong tonight hope sleep airplane worth case last g musso read,positive
like able say truth instead magical mystery tour get led,positive
tweettttt,neutral
basically want world kno best best friend love,positive
ahh seen drop tossed thinking turn,neutral
must missed sure ill make,neutral
cavs easier route denver,neutral
great night,positive
frustrated copying gig across usb stupid old server,negative
nope im bored hungry,negative
bored homework done master program friday nite wit nutin,negative
yeah quite kid school got swine flu close school kid,neutral
going miss roomie longer roomy starting tomorrow,neutral
followed u recently please dont offended havent followed back hit limit hopefully free soon,positive
old customer service team member,positive
would get lot done could list item etsy phone everything upload pic,neutral
im joining twitter lol,positive
richelle mead succubus bluesfabulous read entertaining lot fun interesting next please,positive
brian thats follower count weep know buzz champion,neutral
poor unfortunate soul dont appear pant httpblipfmqvz,negative
im listening,neutral
want go back school sigh poor,negative
today last official day uni balancing uni work music til october atleast,neutral
oh top gear uk love thee,positive
nope san leandro marina hope youre well,neutral
thanks assignment im work today,positive
coming hospital today,neutral
going texas day eeekkkk,neutral
im one tough momma put together swing set tammy allll today hubby would proud,positive
give link kimba diary please,neutral
outside playing ball dog hot sweaty,positive
except im site near airport dixon lil starbucks gps head hehe,positive
awwww internet right drummer boi,positive
site first date macris deli closed lunching favorite local greek spot trojan horse instead,positive
sad u cancelled silverstone show better see u sandown park,neutral
gone mm plug help said id go maximum still want stretch,neutral
enjoying sunshine park friend pale shirtless footballer attractive im afraid,positive
yea running hour let test,neutral
headed back pulaski,neutral
oh said sellout fluke turn projector broken still think film bloody good time tho,negative
park slope brooklyn working bust photoshoot exciting fever tonsil size golfballs,positive
funny,positive
epic moment hahahha swear really wanna see,positive
chloe yes youtube may th made feel x better halarious,positive
club wished could last night sound like rocking cant wait see pix vids,positive
looking forward new week presentation book store dillingen today interesting sale seminar,positive
welcome back japan,positive
think start david archuleta might throw glitter aha,neutral
haha love way u put lift foot ground spin u around make u crazier,positive
tell grandmother say hello,neutral
losing makeup bag tragicluckily keep diff place gotta replace bare escentuals tearrrrrrrr,positive
hi ty good morning happy mom day mom love entire family adding fb love em sweet,positive
mean youre leaving,negative
oh difficult nut thats market home turf,negative
goood dayy beeen shopping didnt get wanted though best friend comeeee homeeee xd ily shannii x,positive
ok im popped say hi check thing ill probably head guttah later tonight,neutral
still hoping job strep look like wont looking around place next couple day,neutral
got twitter palm,neutral
today productive gym nowlots lot writing later,neutral
prettty goooooooood going daaaaaancing mo havnt studied much math,positive
want work tomorrow,neutral
new landlord called cant move tomorrow morning way rain parade,negative
wweeeeooo snl soon,neutral
feel bad everything stupid harsh fault know im sorry savvy love guy,negative
im bummed didnt get tedx ticket,neutral
great service find time lag time posting appearance twitter small downer,positive
sunburn line back tag sticking tank top day ugh need aloe vera went park,positive
predicted feel lyk gahh hate bein ill wrk tweet lata,negative
everyone seems love felt kinda lazy repetative really disappointed,negative
cool good know,positive
lol blow kiss u catch daddy neways im chillin hun u see u early u sleep,positive
hope better weekend,positive
know text itll go twitter set setting fb post text,neutral
long stressful day coming tomorrow write response eoi colleague job,negative
suck im going summer school need catch several unit,neutral
ahhhaaaaa gunna get straight back,positive
downloaded music hour love happens,positive
yaaaaaay get see looking forward cupcake fun,positive
nan house eating fish chip watching top gear good time,positive
going chantal aunt,neutral
chillin loooonnnggg day basketball hella tired sleepy time zzzz,negative
moral support student,neutral
pearlman mow love mow,positive
love good girl go bad,positive
checked there new comment friendster,positive
mine hayley great,positive
fun got retweeted bot,positive
goodness gracious chair broke,neutral
yeah good startled,positive
wishing could go soco go climb instead im stuck work weekend,neutral
lot noisy peep outside,neutral
httpbitlymsize go dear love janelle,positive
ive got fairly flat route available problem longer fully functional bike ride,positive
hard running back forth constantly ya kno workin time havin crazy sleepin schedule must hard,negative
business pleasure keep eye anything youre missing moondog concert tomorrow night,negative
never get followfridays,neutral
app finally face truth lack time never able achieve goal life,negative
done facebook jamlegend,neutral
get day still aint hit love,positive
following week would better ill gone next week,neutral
nailing webconcepting zone awarded,neutral
vote every day,neutral
ive never seen x men film supposed good thought,positive
ive gotta watch stealth skillz always forget,neutral
way work im hungry,neutral
pooof nirvana work httpmylocmetdl,neutral
u dissappointed past day,negative
finally plugged listen flashpoint httpwwwkpfaorg shoutout missed segment chevron,neutral
spent time exploring atlas hercules crater refinding thing uma oph ser caput saturn w fogged eyepiece home,negative
would u get trouble follow logic sorry,negative
kittykat hello new follower haha ya,positive
ok thats true plus youre insulting saying im insulting ive trying cheer butnada,negative
live new york saturday night finally new one,positive
love gossip girl episode wrath con,positive
bored,negative
two month ago became worthless,negative
dreading work tomorrow wish one day,neutral
bos shes moving nyc,neutral
w wowthanks soo much hope well,positive
munderday like,neutral
today started well,neutral
