cleaned_text,predicted_sentiment
really nice smoothy baulko shop,positive
flat sparkling clean thats team work way pick food,positive
glad t brought sorry ur foot shortyur gonna relax wit heel,neutral
stop making assumption dont even know haha stupid thanks defending matthew,negative
late news much needed zzzzzzzgoodnight tweet,negative
dog roscoe died yestarday im sad,negative
haha came home long night saw tweetie khayyam wakil usually dont announce lol,positive
mean famous congrats,positive
really cry shame,positive
oral left learn oh welllll least dont write,negative
long way sea unless came gloucester dock,negative
okay kool might touring summer long make happen,positive
least youll done,negative
got nap relaxing night,neutral
wow early best conversation,positive
haha thanks inane grin grading student really fascinating semester,positive
happy mother day,positive
hell awake early,positive
tell zach jer said happy birthday seem like cool brother youre lucky haha,positive
whole day planned mom today know love,positive
mhmm idk thought showing freaking ppl hehebut yeah totally understand u guy vn sound cool,positive
sad day love year ago,neutral
good morning rock star nurse,positive
nk wouldnt call cool dangerous reckon fit stupid category,negative
nickchien happy break twitter virginity two,positive
know wrong maybe shouldnt thing like,negative
use mozycom,neutral
teratoma cavity experiencing malepattern baldness,neutral
hope studyin went well,neutral
im thinking tonight plan gonna happen sighsadface shouldnt surprised,positive
youre welcome,positive
sitting around alltired,neutral
thanks made morning,positive
yikeysss im harmless really want attention brody,positive
always wake one minute alarm scheduled go,neutral
totally forgot dgree show et al ensconced home wine ready bed,positive
aw tear feel special da family haha thanks girl love yal,positive
saw something real sad lunch dog two broken back leg,negative
awww wish younger si older one bet younger si love much u,positive
oh please dont,neutral
sad kid ungrateful today,negative
grandma place mum celebrating mother day generation th come,neutral
eleni love,positive
aww thanx andy,positive
oo thats cool dang ihave clean room lol good luck wthose job gurl,positive
stu actually severly sunburntit hurt,neutral
trying thing running online business well running regular business real world,positive
girlfriend still like sesame st,neutral
creating business u france look quiet easy,positive
itsurely dear posted presentation swine flu yest got downloads dayi feel great,positive
anthem right dont leave high dry httpblipfmfcr,positive
ran hair first spiderweb full baby spidersi almost set hair fire get rid almost,positive
feeling lonely need good friend,positive
miss rich,positive
ninja sushi lunch dominick sour gummy worm,negative
sometimes hate thats normal dont worry bout,negative
worst headache ever history worst headache today man hate,negative
thanks interview mama enjoy night,positive
sure every office men woman capacity realize shut unholy christ,positive
ugh people fancy trip italy im slaving away computer,neutral
watching cartoon havent year eating breakfast program changed,neutral
slept hr body aching,neutral
think meant pic dont know one might seen really hot get,positive
time play,neutral
baby alex miss ily good night,positive
ha ha ha know love love,positive
wow ive officially lost faith britain look like wish werent met sadly,negative
totally go amazing he reason bought tix song blood bank,positive
egg white grain toast yup,neutral
phone acting crazy today missed tweeties update fixed,negative
thanks brad looking forward chatting btw like new pix,positive
haha say two week please continue bre great,positive
please,neutral
say happy mother day mom httpplurkcompstkr,positive
stuck finger throat bunch bump tongue throat,neutral
working happy job radio anything physically exhausting,positive
morning hope lovely holiday monday whatever goin,positive
want experience snow dont snow suck,neutral
reminder good speaking havent posture check awhile,positive
avenue love website wish lived closer sample cupcakey treat,positive
unless invite come beta key im going much help,positive
niceid like therebut far im brazil kiss nice day,positive
work,neutral
wow mosquito backyard suck coughing half death middle night keeping cassidy awake,negative
somehow yet accomplish thing,neutral
sad best friend selfish heartless exclude life completelyim sad,negative
supernatural pm ten counting,positive
im exhausted new song one day myspace check httpwwwmyspacecomtannajoy,negative
week post myhorrible traumatic jumping cholla accidentchollas next dirty trickpieces starting emerge hand ouch,negative
man waking suck u go work like min later,neutral
hoe none,neutral
saw none baddie best,positive
love girl rock,positive
still pic sad,negative
hey thanks mate cool coz watched,positive
head feel sooooooooooo much better,positive
cute dog,positive
safely say wont euro winner week,positive
mcflyandjb okay x,positive
httptwitpiccomwl haaha bang kinda long oops,negative
shantz heyy shantell twitter cool thats guess followed britney spear followed back,positive
happy mother day trying havent nailed teenager tree,positive
tropical depression heading east mrsal scared one welcome start hurricane season still looking fl sub,positive
ill bed stomach killing,negative
house home alone playing guitar guitar hero loud,positive
unpacking new toy arrived studio right called tc finalizer cant wait check sound,positive
good morning tweeties today rested richmond ready hit beach,positive
sydney twitter know photography run also popular photography blog,positive
u ur dad losing mentaly dosent remeber,neutral
gotta say feel bad everyone nkorea theyre starving crazy charge endangers daily,negative
im boredddd day gone quick dont like,positive
wanna leave work already feelin day,neutral
miss,neutral
gate also guttedthe end nigh x,neutral
la said wipe slate clean jelly,positive
daaaaang sold,neutral
oh yeah lol,positive
bgt cant watch anymore,neutral
bought little plastic personal wine bottle jewel perfect rooftop boozin wish didnt wait long,positive
yeah thats everything becomes difficult generalisation break easy problem,negative
simple greeting unexpected people actually lighten mood ever happen,positive
yep youve converted blip great hear lot others suggestion pretty great stuff,positive
next thing tomorrow morning temperature check gonna routine till swine flu dy good night everyone,positive
chapman whuffaoke night gillette stadium,neutral
booi thought list meant would good go look like ill get cf adapter dslr,positive
need job pay hospital bill sick lately,negative
greg pritchard robbed place final bgt cry baby face got instead,neutral
hey hey hey lol,positive
hi anyone,neutral
michael scofiled noooooo hate writer director n production,negative
happy mother day mother good enjoyable day,positive
well print cyk cymk,neutral
thanks forever curse make spend hour everytime go couldnt go tanning today,positive
sorry sweetpea almost,negative
babsi there manual process taking ever outlook database pffff crappy msft product,neutral
jane austen book pride prejudice emma great also northanger abbey,positive
wishing happy mother day,positive
messed hope day get better,positive
mcc bye scotty im gonna miss ily,neutral
okie gonna tweet loosing guy girl,neutral
today fun,positive
gdnight tweeter night sleep tight dont steal blanket otay love yous,positive
tonight boring,negative
finished capital transaction exam another monkey climb back looking forward glorious mood tomorrow,negative
